- table: FIXED fixture,support; size 0.70x1.00x0.70 m; at (0.55, 0.00, -0.35); top rect x[0.20, 0.90] y[-0.50, 0.50] at z=0.000
- franka_table: FIXED fixture,support; size 0.90x0.76x0.79 m; at (-0.36, 0.00, -0.40); top rect x[-0.81, 0.09] y[-0.38, 0.38] at z=0.000
- GroundPlane: FIXED fixture,ground; size 50.00x50.00x0.00 m; at (0.00, 0.00, -0.70)
- pineapple_slices_can: object; size 0.07x0.07x0.06 m; at (0.54, 0.08, 0.30)
- bbq_sauce_bottle: object; size 0.06x0.05x0.15 m; at (0.60, -0.07, 0.30)
- raisin_box: object; size 0.09x0.07x0.12 m; at (0.55, 0.00, 0.30)
- tomato_sauce_can: object; size 0.07x0.07x0.08 m; at (0.62, -0.06, 0.30)
- ladle: object; size 0.32x0.09x0.06 m; at (0.54, 0.09, 0.30)
- lime01: object; size 0.07x0.07x0.06 m; at (0.53, 0.12, 0.33)
- orange_02: object; size 0.07x0.07x0.07 m; at (0.50, 0.08, 0.34)
- bowl: object; size 0.16x0.16x0.05 m; at (0.58, -0.05, 0.30)
- remote_control: object; size 0.03x0.04x0.16 m; at (0.55, -0.02, 0.30)
- pitcher: object; size 0.14x0.10x0.17 m; at (0.42, -0.03, 0.38)
- lemon_02: object; size 0.05x0.05x0.04 m; at (0.56, -0.01, 0.32)
- spoon_big: object; size 0.15x0.10x0.02 m; at (0.60, -0.11, 0.31)
- whitepackerbottle_a02: object; size 0.05x0.05x0.09 m; at (0.63, 0.01, 0.34)
- whitepackerbottle_a01: object; size 0.04x0.04x0.08 m; at (0.55, 0.02, 0.34)
- plasticjerrican_a01: object; size 0.19x0.21x0.23 m; at (0.48, -0.04, 0.41)
- hammer_8: object; size 0.29x0.28x0.03 m; at (0.49, 0.07, 0.30)
- peas_and_carrots: object; size 0.07x0.07x0.06 m; at (0.55, -0.09, 0.30)
- spatula_17: object; size 0.14x0.25x0.01 m; at (0.54, -0.07, 0.30)
- bin_b02: object; size 0.19x0.19x0.08 m; at (0.60, 0.00, 0.34)
- orange_01: object; size 0.07x0.07x0.08 m; at (0.56, -0.01, 0.34)
